Signal Strength: Strong,,,,,,,,,,,,,,,,,,,,,,,,,
Order Execution: Immediately,,,,,,,,,,,,,,,,,,,,,,,,,
Investment,100000,,,,,,,,,,,,,,,,,,,,,,,,
Leverage,1,,,,,,,,,,,Jan,Feb,Mar,Apr,May,June,Total,,,,,,,
TP,0.009,,,,,,,,,,,,,,,,,,,,,,,,
SL,-0.0142,,,,,,,,,,,,,,,,,,,,,,,,
date,time,side,result,return,nav,cum_roi,bars 15,duration m,duration H,,Total Trades,38,27,45,37,38,32,217,,0,1,1,1,1,0
14-Jun,17,Buy,1,0.90%,141868.964,41.87%,14,210,3.5,,,,,,,,,,,,,,,,
16-Jun,11,Buy,0,-1.42%,139854.4248,39.85%,92,1380,23,,,,,,,,,,,,,,,,
16-Jun,17,Sell,1,0.90%,141113.1146,41.11%,56,840,14,,,,,,,,,,,,,,,,
17-Jun,4,Sell,1,0.90%,142383.1326,42.38%,23,345,5.75,,,,,,,,,,,,,,,,
17-Jun,12,Buy,1,0.90%,143664.5808,43.66%,22,330,5.5,,,,,,,,,,,,,,,,
18-Jun,2,Buy,1,0.90%,144957.562,44.96%,9,135,2.25,,,,,,,,,,,,,,,,
18-Jun,16,Sell,1,0.90%,146262.1801,46.26%,15,225,3.75,,,,,,,,,,,,,,,,
20-Jun,18,Sell,1,0.90%,147578.5397,47.58%,39,585,9.75,,,,,,,,,,,,,,,,
21-Jun,8,Buy,0,-1.42%,145482.9244,45.48%,256,3840,64,,,,,,,,,,,,,,,,
21-Jun,20,Sell,1,0.90%,146792.2708,46.79%,197,2955,49.25,,,,,,,,,,,,,,,,
23-Jun,12,Sell,1,0.90%,148113.4012,48.11%,33,495,8.25,,,,,,,,,,,,,,,,
24-Jun,2,Buy,0,-1.42%,146010.1909,46.01%,23,345,5.75,,,,,,,,,,,,,,,,
25-Jun,4,Buy,1,0.90%,147324.2826,47.32%,41,615,10.25,,,,,,,,,,,,,,,,
25-Jun,12,Sell,0,-1.42%,145232.2778,45.23%,9,135,2.25,,,,,,,,,,,,,,,,
26-Jun,13,Sell,1,0.90%,146539.3683,46.54%,16,240,4,,,,,,,,,,,,,,,,
27-Jun,8,Sell,0,-1.42%,144458.5093,44.46%,20,300,5,,,,,,,,,,,,,,,,
28-Jun,8,Buy,0,0.90%,145758.6359,45.76%,18,270,4.5,,,,,,,,,,,,,,,,
28-Jun,16,Sell,1,0.90%,147070.4636,47.07%,13,195,3.25,,,,,,,,,,,,,,,,
29-Jun,3,Buy,1,0.90%,148394.0978,48.39%,112,1680,28,,,,,,,,,,,,,,,,
30-Jun,6,Sell,0,-1.42%,146286.9016,46.29%,22,330,5.5,,,,,,,,,,,,,,,,
